title,price,location,Tình trạng,Năm sản xuất,Xuất xứ,Động cơ,Kiểu dáng,Hộp số,Số Km đã đi,Dẫn động,Màu ngoại thất,Màu nội thất,Số cửa,Số chỗ ngồi
Xe Mitsubishi Xpander 1.5 AT	2020,445 Triệu,"755 Nguyễn Xiển (Cột trụ cầu T139), Thanh Xuân Hà Nội",Xe đã dùng,2020,Nhập khẩu,Xăng 1.5 L,SUV,Số tự động,"70,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,7 chỗ
Xe MG 5 Standard 1.5 AT	2022,365 Triệu,"86 Vũ Đức Thận, Long Biên Hà Nội",Xe đã dùng,2022,Nhập khẩu,Xăng 1.5 L,Sedan,Số tự động,"48,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,4 cửa,5 chỗ
Xe Toyota Corolla altis 1.8V	2023,688 Triệu,Số 2 Trần Hữu Dực - Mỹ Đình Hà Nội,Xe đã dùng,2023,Nhập khẩu,Xăng 1.8 L,Sedan,Số tự động,"28,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,4 cửa,5 chỗ
Xe Volvo XC90 Recharge T8 AWD	2021,2 Tỷ 999 Triệu,"2/4 Lê Đức Thọ, P. Hạnh Thông, Gò Vấp TP HCM",Xe đã dùng,2021,Nhập khẩu,Hybrid 2.0 L,SUV,Số tự động,"39,000 Km",AWD - 4 bánh toàn thời gian,Xám,Nâu,5 cửa,7 chỗ
Xe Mercedes Benz GLS 450 4Matic	2021,3 Tỷ 650 Triệu,"259 Phạm Văn Đồng, Bắc Từ Liêm Hà Nội",Xe đã dùng,2021,Nhập khẩu,Xăng 3.0 L,SUV,Số tự động,"66,000 Km",AWD - 4 bánh toàn thời gian,Đen,Đen,5 cửa,7 chỗ
Xe Audi A4 1.8 TFSI	2014,489 Triệu,"53 đường số 85, Tân Quy, Quận 7 TP HCM",Xe đã dùng,2014,Nhập khẩu,Xăng 1.8 L,Sedan,Số tự động,"42,000 Km",FWD - Dẫn động cầu trước,Đen,Đen,4 cửa,5 chỗ
Xe Mercedes Benz GLE Class GLE 43 AMG 4Matic Coupe	2018,1 Tỷ 880 Triệu,"Số 115 Lê Văn Lương, Thanh Xuân Hà Nội",Xe đã dùng,2018,Nhập khẩu,Xăng 3.0 L,Coupe,Số tự động,"93,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Nâu,4 cửa,5 chỗ
Xe Mercedes Benz C class C250 AMG	2015,570 Triệu,"793/62 Trần Xuân Soạn, phường Tân Hưng, quận 7 TP HCM",Xe đã dùng,2015,Trong nước,Xăng 2.0 L,Sedan,Số tự động,"80,000 Km",RFD - Dẫn động cầu sau,Xanh,Kem,4 cửa,5 chỗ
Xe BMW Z4 sDrive20i M Sport	2023,3 Tỷ 139 Triệu,"68A Lê Văn Lương, P. Thanh Xuân Hà Nội",Xe mới,2023,Nhập khẩu,Xăng 2.0 L,Convertible/Cabriolet,Số tự động,-,RFD - Dẫn động cầu sau,Tím,Nâu,2 cửa,2 chỗ
Xe Mercedes Benz S class S63 AMG	2007,478 Triệu,"Số 3 -5 Nguyễn Văn Linh, Long BIên Hà Nội",Xe đã dùng,2007,Nhập khẩu,Xăng 6.2 L,Sedan,Số tự động,"160,000 Km",RFD - Dẫn động cầu sau,Đen,-,4 cửa,5 chỗ
